no,text
4326,Ai bảo chi pu không bt hát hơi nhầm đấy kkk
4327,càng nghe càng hay. mới_đầu không có cảm_xúc lắm nhưng bây_giờ bi nghiện rồi
4328,Cảm_ơn bạn đã giúp đường tiêu_hoá của tôi tốt hơn khi cho ra mv này :cầu_nguyện:
4329,"À đúng rồi, em là fan mới của hero team nè."
4330,không phải sky nhưng mình rất thích ý_tưởng của mv. bài hát nghe thì nghe nhìêu mới thấy hay.
4331,Thích đoạn của CÔ NGÂN × SIMMY HÀ THẢO LINH × TIMMY
4332,"Xin góp_ý: MV tốt, giọng hay, vũ_đạo thì ok, lời thì khó nghe không tạo ấn_tượng"
4333,Coá ai để_ý không 1 ngày là 1 trời lượt xem á mọi người
4334,Chữa lành :dấu_x: Tra_tấn lỗ tai :dấu_tích_xanh: Giúp người khuyết_tật :dấu_tích_xanh:
4335,Đọc báo thấy MV cán mốc 100tr lượt xem em vào xem liền. Đã thấy hơn 100tr rồi. :cười_ra_nước_mắt: :cười_ra_nước_mắt:
4336,không biêť st có đoc mâý comment này không ta??
4337,ngay khuc ế ê ề ánh mắt sơn tùng quyết_tâm thật nhin sao sao ấy
4338,Dù_sao thì em vẫn thích we don ' tôi talk anymore hơn.
4339,"Chị cho em 100k, à không 80k thôi, mà chưa được, 80k vẫn đắt, 10k thôi, để em bấm nút live vớt_vát danh_dự cho chị: > # 5sonline"
4340,Hãy chứng mình cho mọi người cùng thấy nhé chị Chi. Cố lên nào!!! This is what I feel thích TỪ HÔM_NAY EM SẼ CHẲNG MONG_CHỜ NHỮNG VẤN_VƯƠNG XA MỜ... CUỘC_SỐNG HÔM_NAY EM SẼ LUÔN MỈM CƯỜI < 3
4341,Anh có tiềm_năng đó dấu mẹ tiềm_năng đi anh ơi :cười_toát_mồ_hôi:
4342,dở thì có dở thật nhưng hãy nhìn gương của đông nhi hay hà lộn đi. 2 người đó cũng xuất_phát từ giọng hát còn dở hơn chipu bây_giờ
4343,đây gọi là sự sáng_tạo chứ không phải là copy. Biến cái hay của người khác để thành cái riêng_biệt của mình.
4344,Mình thấy nó cũng hay mà sao nhiều người không thích quá vậy?? Hùa theo không thích à???
4345,"gì vậy trời Anh cô_đơn quá "" "" "" "" "" "" "" "" hay vê lờ anh đây hàng hiếm đừng có tiềm kiếm"
4346,35k không thích đều là fans của Hương_Tràm. Tôi thấy fans Hương_Tràm trẻ trâu quá
4347,"người nước_ngoài vào khen, còn mấy thành_phần anti dân mình thì bày_đặt lên google dịch dịch sang tiếng anh để chửi. thật buồn_cười."
4348,nói_gì_thì nói vẫn nghe thấy cuốn và khá hay: 3
4349,Moẹ dở vãi thằng bạn tôi đang trong hòm ngồi dậy tán tôi :tức_giận:
4350,Nhắm mătz ơ thờ anh không muốn lạc vào trong nỗi đau này
4351,Mấy bạn thấy dở?? Đúng thật!! Nhưng đem chipu đi so_sánh với HT là sai quá sai = ) ) ) ) ) ) ) )
4352,"Chi_Pu hát không hay ai cũng công_nhận. KHÔNG phải cái gì cũng cố_gắng là được, 1 phần_phụ thuộc vào năng_khiếu nữa. Còn khán_giả họ bỏ tiền trả cho các dịch_vụ giải_trí nuôi sống nghệ_sĩ nên họ có quyền được nhận_xét, ok! Gửi tới Chi_Pu: Vui thôi đừng vui quá, hát cho vui thì được chứ hát để làm ca_sĩ thì khác xa lắm nhé Chi. Chi nói muốn hướng đến hình_ảnh 1 nghệ_sĩ đa_năng nhưng Chi không biết được rằng lĩnh_vực nào Chi cũng làm chưa tới. Thay_vì làm nhiều cái thì hãy chọn 1 cái hợp với mình rồi cố_gắng làm tốt nó thôi. Và hơn hết không nên ảo_tưởng về năng_lực của bản_thân!"
4353,"Chả_là hôm_nay em buồn ỉa quá mà mãi không ỉa được. Tình_cờ thế_nào, duyên_phận đã đưa em đến với Pickle ball của anh. Em chưa hề nghe danh anh từ trước, nhưng khi em vô_tình nghe phải ca_khúc này, đít em đã tự_động ỉa đến tắc cống mà mình không hay. Cảm_ơn anh Phú_Quí nhiều :trái_tim_đỏ: :trái_tim_đỏ: :trái_tim_đỏ:"
4354,cảm_ơn anh rồi nhiều mà nhờ anh mà em đã có động_lực ik tìm cái điều_khiển để tắt nó ik
4355,có mỗi việc ghi nguồn copy thôi mà sao khó_khăn thế hả sếp
4356,"Hát hay, chỉ là hát cho mọi người nghe thôi có cần phải chê_bai này_nọ không nhỉ?"
4357,Thấy bảo dở này_nọ nhưng nghe có đến_nỗi nào đâu nhỉ? Càng nghe càng nghiện ấy chứ: ) ) mấy bạn diss hùa sống lỗi quá: ) ) ) )
4358,Tôi không hiểu chị Chi_Pu hát cũng được mà s mọi người lạ không thích
4359,CHÉO SUB NHÉ MỌI NGƯỜI 100 % TRONG VÒNG 24h TÔI SẼ SUB LẠI
4360,"Nói thật ở Việt_Nam ít có ai làm được như Sơn_Tùng... từ cái MV chất theo kiểu âu, cách diễn_xuất hay nữa. Nói_chung là đều thích we don ' tôi talk anymore và chúng_ta không thuộc về nhau. Hay thì cứ thưởng_thức thôi, so_sánh cũng chả để làm cái gì cả, tốn thời_gian, mất hay!!!"
4361,"mới có 2 ngày mà đã có 5tr lượt xem rồi, kinh vậy ~"
4362,Nghe thế_giới của tôi - nữ_thần xong nhớ tới từ hôm_nay của chi pu nên lại nhảy vào đây
4363,Ai chê chi pu hát không hay thì nghỉ đi nghe bài Trở_Về_Đi của Chi chưa mà nói Xin_lỗi thế :cười_ra_nước_mắt: :cười_toe_toét: :cười_toe_toét:
4364,Linh ka nhiều không thích hơn sơn tùng kìa mà linh ka ra trước mà nhiều không thích :cười_ra_nước_mắt:
4365,"Sang Chạy_Ngay_Đi nhé mọi người, bên đó tăng chậm quá"
4366,Tôi thấy soái nhi hát còn dở hơn mà sao chúng_mày không chê
4367,thế đéo * * nào mà nghe mãi vẫn không hiểu bài hát về cái gì
4368,Thằng bạn tôi bị liệt 17 năm bác_sĩ nói nó không đi_lại được nữa nhưng nghe bài này nó đứng dậy mà tắt :sợ_hãi: :sợ_hãi:
4369,Bài hát được mấy từ còn đâu là oh oh không à: ) )
4370,Sky chúc anh thành_công hơn!! MV chất và hay lắm! Mãi yêu và ủng_hộ Tùng :mắt_trái_tim: :mắt_trái_tim: :mắt_trái_tim: :mắt_trái_tim: :hôn_gió: :hôn_gió: :hôn_gió: :hôn_gió: :hôn_nhắm_mắt: :hôn_nhắm_mắt: :mắt_trái_tim:0 :mắt_trái_tim:1 :mắt_trái_tim:2 :mắt_trái_tim:3 :mắt_trái_tim:4 :mắt_trái_tim:5 :mắt_trái_tim:6 :mắt_trái_tim:7 :mắt_trái_tim:8 :mắt_trái_tim:9
4371,30tr lun i sky ơi. Xoá cmt 2 lần ùi. Cố lên mặc_kệ anti fan
4372,"Sau khi nghe xong bài này, George_Floyd đã có được hơi thở đầu_tiên của mình sau 4 năm ngưng thở"
4373,bài này đang chìm xuống rồi à.. dạo này không thấy ngoài đường nghe nữa... trước mới ra nghe thấy suốt....
4374,Lạc_Trôi đưa tôi đến đay cảm_giác ngộ vậy ta! có ai như_vậy không ạ...
4375,"Rất hay! Mv đẹp, nhạc hay, hát nghiền, mọi thứ thật tuyệt_vời :mắt_trái_tim: :mắt_trái_tim: :mắt_trái_tim: :mắt_trái_tim: 1 thích và 1 subscribe thôi nào"
4376,Đúng là 1 sản_phẩm dù có hay hoặc dở thì chỉ cần bi anh tốt thì nó sẽ thành hót
4377,Đùa chứ mới nghe thấy lạ_tai mà càng nghe lại càng thấy hay mới chết chứ ủng_hộ chị cố lên :trái_tim_đỏ: ️
4378,"bé ơi bé có vẽ bắt_chước ghê ik nhé! Chuỵ không thích nhae, cố_gắng nhae đừng bắt_chước nhé không thích, phán rằng không thích"
4379,Hát như loz bày_đặt hát. tôi vào chỉ để không thích.
4380,nè bạn nào mà bảo chị mèo simmy và cô ngân rap dở ế thì mấy bạn có rap được không mà bảo người khác đung không các bạn fan
4381,Cũng không thích sơn tùng mấy. Ít nghe nhạc sơn tùng nhưng lại rất thích MV này
4382,"tên thật cuả ST là Nguyễn_Thanh_Tùng nhé ae. MÀY - TP là music, tài_năng và phong_cách ^ ^!"
4383,chỉ công_nhận tài copy nhạc của nó ^ ^ còn lại thì cờ cờ :cười_ra_nước_mắt: :cười_ra_nước_mắt:
4384,: ) đây là mv rất bom tấn nhưng đối_với tôi là thảm_hoạ của rap ; - ;
4385,"Đờ mờ nguyên bài_chỉ nghe: "" chúng ' s ta ' s đéo ' s thuộc ' s về ' s nhau ' s "" như cờ cờ"
4386,"beat là của 3D hình_ảnh là của Quang_Huy_Vậy tại_sao cứ đem thằng Tùng ra chửi vậy, nó chỉ viết lời thôi mà Người Việt_Nam sao nhìu thành_phần chưa nghĩ đã bấm quá vậy??"
4387,không hiểu gì về nhạc nhưng nghe công_nhận giống thiệt.
4388,Cô lên chị ơi... de nhưng người koi thuog chị fai gah ti với chị
4389,Tôi nói thật chứ. Giọng Sơn_Tùng đéo hơn Chipu là bạn đâu. Chả qua Sơn_Tùng được bài hát nó lấn_át đi giọng hát. Còn Chipu lần này thất_bại chả qua bài hát thực_sự không phù_hợp tí nào. Nhận_xét giai_điệu bài hát thôi chứ đừng có đánh_giá giọng hát làm_gì
4390,Ủa sao ai cũng nói Phong cong không vậy?
4391,co moi cau chung ta không thoc ve nhau nhac di nhac lai het ca bai hat. con lai doc được 1 it rap. the la thanh sieu pham
4392,Nhạc của chị rất hay cố lên nhé em ủng_hộ chị
4393,Vẫn là không nên hát thì hơn. :thư_giãn: đây là yk cá Nhân của mình thôi. :thư_giãn: :thư_giãn:
4394,đề_nghị liên_hợp_quốc xoá MV này đi vì MV này thuộc loại_hình_thức tra_tấn tinh_thần và lỗ tai
4395,fire ớ ồ ế ồ: ) ) ) ) HEY BURN IT UP jeonbu da taeul geot gachi HEY TURN IT UP saebyeogi da gal ttaekkaji = ] ] ]
4396,MV cũng đầu_tư. xem cũng không hay lắm. hát thì dở. hát không có giọng. diễn cũng kém. tốt nhất đừng tham_gia vào showbiz nữa. nên đi làm người_mẫu ảnh thì tốt hơn. nghỉ làm ca_sĩ đi. đừng ra MV gì nữa nghe chán lắm. thế nhé. làm hỏng hết nét đẹp của nhạc Việt
4397,6: 23 12 / 01 / 2017: 92. 083. 843!!! Tết 100tr nka mày. người!: )
4398,"Vũ_đạo, nền, phong_cách, tới nhạc rất hay... nhưng hãy tạo ra 1 thể_loại nhạc đậm chất Việt_nam, mình thấy nhạc Việt toàn có_vẻ theo phong_cách Hàn"
4399,"TÔI thấy beat cuốn nhưng lời vo tri, phải ổng viết lời lại là okela lun á: ) ) )"
4400,we don ' tôi talk anymore được biết đến ở VIỆT_NAM nhiều hnhư nhờ bài này thì phải...
4401,Cảnh quay rất đặc_sắc giọng hát đang yêu vẫn giống như nân công_chúa trong 5s online. :cười_đỏ_má: tên bài hát và lời bài hát đều hay. :thích: :thích:
4402,tụi mày nghe nhạc thì nghe chứ cày lượt xem làm ji... có tiền thì cũng ráng cày ak
4403,FAN AI KỆ. NHƯNG FAN CHI THÌ ĐI TỚI. TEAM CHI PU ĐIỂM_DANH
4404,"Cô ấy hát không hay nhưng cũng đâu đến_nỗi dở tệ, sao mọi người chê dữ vậy"
4405,"Để mình tính thế hay nhé, mỗi ngày 3tr lượt xem, cày liên_tục 1 tháng thì mv này được khoảng 90 trời lượt xem, ngjĩ đến thôi mà thấy sug sài_gòn ghê cơ"
4406,Lâu_lâu nghe lại bài này cuốn thực_sự < 3
4407,hát dở quá vậy mẹ :buồn_cúi_đầu: diễn đã không ra_hồn giờ còn đi hát: ) ) lên facebook mà coi cả thế_giới đang nói về mv của mẹ kìa: ) nhớ đọc thật kỉ cmt nhé... mãi yêu
4408,"Toàn bọn óc thời khủng_long.... - _ - bài hay, lạ, chất mà"
4409,"Mình thấy cũng được. Nghe cũng hay đó. Nghe 2, 3 lần mới thấy hay"
4410,nghe mà đau hết đầu vẫn chỉ thich con mua ngang qua
4411,Chúng_ta không thuộc về nhau. We don ' tôi talk anymore
4412,"sự nổi_tiếng, độ hit của ST MTP nói lên tất_cả, không cần nói nhiều, không phải phủ_nhận thành_công của anh ấy, nhìn vào thực_tế đi antifan"
4413,chi pu lần đầu hát mà mày bạn cay_nghiệt quá
4414,ghen_tị là một tính_cách đáng sợ nhất. hahaha
4415,Bài này nghe đến bây_giờ mà vẫn thấy hay beat hay quá không_thể chán nổi
4416,Ai xem thấy tại_sao không thích nhìu :không_thích: vại??? Why??? Nge cũg được mà
4417,Mỗi người 1 sn đâu phải sinh ra là hoàn_hảo ts bạn biết cố_gắng trở_thành người hoàn_hảo trong khi người khác cố_gắng thì lại vung ra biết_bao lời ác_ý vậy? Kể cũng ngộ
4418,"mình thấy giọng của Chi hay mà, nhạc nó cũng bắt_tay, mỗi_tội nội_dung không được rõ lắm thôi"
4419,"- ) ) không cảm_xúc. _. Thích thì nghe, không đừng chửi = > có chửi thì hãy chửi lịch_sự - ) vì chúng_ta đều là người văn_minh :ok: 🏻"
4420,Cố lên nào lượt thích sắp đuổi kịp lượt không thích rồi
4421,"có ai tới phần rap, rap Hey burn it up không = ) )"
4422,Một ngày tầm 30k thì ít quá nhỉ. Lâu lên 200M lắm luôn
4423,ai có link nhạc không lời không? nhạc cũng hay phết
4424,"nhạc gì HAY dễ_sợ, càng nghe càng thấy như con... Nể phát dám phát_hành và đơn_vị nhận phát_hành :cười_ra_nước_mắt:"
4425,Có câu oh oh oh giống ò ó không nên hơi kì thôi à! còn lại hay mà.
4426,"Hơi bị dị cái đoạn hững hoooờ, cườiiiiii, tuyệt vờiiiiiii. Nghê cảm_thấy buồn_cười"
4427,Hat do ma cung doi lam ca si ho phan anh la dung the ma 50 % con hat nhep
4428,Tem hero hát giỡ quá chỉ có anh phong cận và sam mi thôi
4429,"khét thế thích đoạn của sammy, cá_mập sát_thủ đây,"
4430,"Mọi người nên tập_trung stream 4 bài: nơi này có anh, hãy trao cho anh, đừng làm trái_tim anh đau và chúng_ta của tương_lai nhé. Đặc_biệt là hãy trao cho anh, bài này tăng chậm hơn tiến_độ dự_định rồi …"
4431,"TÔI thấy hay mà, nghe lần đầu đoạn điệp khá bắt tai. nghe thêm mấy lần thì kết luôn. Mình thì cứ hùa theo số đông rồi chê này chê nọ"
4432,Không thích chỉ có_thể là fan Hương_Tràm hoặc anti Chipu :cười_ra_nước_mắt: nhiều đứa chó hùa cũng_nên
4433,We don ' tôi talk anymore chúng_ta không được luộc rau: ( (
4434,"Vâng, tối_qua sếp Tùng up cái MV này lên và hôm_nay đã có rất nhiều người nói là sếp Tùng đã đạo. EM phải công_nhận sếp Tùng là Gao_Tùng: vậy"
4435,thấy cũg được. không tới nỗi bị chửi như_vậy... người ta muốn thực_hiện ước_mơ thì hãy cho ngta 1 cơ_hội để có_thể hoàn_thiện hơn!!
4436,Hoàn_hảo: ) ) ) đó là sau khi chỉnh_sửa. Nghe chị hát live như lone ý :mặt_ranh_mãnh: :mặt_ranh_mãnh: :mặt_ranh_mãnh: :mặt_ranh_mãnh:
4437,Chuẩn_bị đi học 18. 418. 545 Lượt xem: 3 Về thấy 20. 248. 293 Lượt xem: vậy vãi đái
4438,Hay lắm rep cả trăm lần mà không ngán ánh_sáng đẹp tùng đẹp_trai hát hay khỏi chê yêu anh < 3
4439,"- bên We don ' tôi talk anymore thấy cả cmt tiếng Việt, chắc nhờ MV này. Chúng_ta không thuộc về nhau chứ đâu phải Chúng_ta đừng nói chưa nữa đâu nhờ :cười_híp_mắt: :cười_híp_mắt: :cười_híp_mắt:"
4440,Điểm_danh ai đã xem từ 4 năm trước đến 2020
4441,Không có ý gì nhưng thật_sự nó giống we dont talk anymore.
4442,Đít mẹ hay vãi anh có tài_năng đó giấu mẹ nó ik_anh
4443,"Câu từ lộn_xộn em không cảm_nhận được, chắc yếu nghề :cười_toát_mồ_hôi:"
4444,. này là cá_nhân mình nhé. Nếu ai là fan trẩu của chị Chi_Pu thì cứ táp. Đoạn đầu giốq với video của Blackpink đoạn sau giốq với video cuả 4 minutes. Ý_kiến riêq nhé cấm cmt chửi
4445,BBBB hơn CTKTVN rồi hôm bữa giờ lượt xem lên chậm Quá 1 Ngày 1 người xem 2 hoặc 3 lần là Được Rồi Sky ơi cố lên
4446,"Nhìn như ngáo đá, lời hát thì chả có giá_trị :mặt_ranh_mãnh: :mặt_ranh_mãnh: :mặt_ranh_mãnh:"
4447,hay quá anh ơi em yêu anh idol của em = ) ) ).. anh cần cố_gắng nhiều hơn anh nhé em yêu anh tug heo ơi
4448,"chúng_ta không thuộc về nhau = kẹo sữa được làm từ sữa, nhây vãi"
4449,"hay, được cái beat hay: ) ) còn lại như cố diễn, còn hát thì vẫn nghe được nhưng không có gì gọi là đặc_sắc để trở_thành 1 ca_sĩ chuyên_nghiệp, còn nếu CP chỉ cho ra clip giải_trí thì ok, vẫn có tính giải_trí: ) ) nhưng đề_nghị không nên đi hát dài_lâu, hát vui thì được: >"
4450,tôi không thích anh_sơn tùng nhưng không phải là ghét. tôi thua nhận sự thành con của anh.. anh quá giỏi
4451,"bài hát rất hay, cảm_ơn anh tùng đã tạo ra sản_phẩm tuyệt_vời mang âm_nhạc việt_nam đến gần với thế_giới < 3"
4452,nghe cả trăm lần rồi vẫn hay tôi nghe từ năm trước rồi cơ
4453,1: 10 ảo quá man ( Từ dưới nước trồi lên mà bông_tai thẳng_băng )
4454,Trời ủi bạn tôi nghe xong đó đờ 1 tuần lun cái trường xây cái chỗ chơi pickleballs xong nó thấy chỗ đó là chạy mất hehe có chỗ sợ khỏi bị bạn ăn ké rủi :cười_ra_nước_mắt: :cười_ra_nước_mắt:
4455,Tôi sẽ chờ 1 mv của Chipu với sức ảnh_hưởng lớn cho nền âm_nhạc Việt_Nam
4456,không thích với thích gần bằng nhau luôn... mà thôi kệ quan_trọng là_lượt lượt xem tăng lên là được :hôn_nhắm_mắt: :hôn_nhắm_mắt: :hôn_nhắm_mắt:
4457,cái này thì khác gì nói thật mấy bài trước có_thể chấp_nhận còn bài này thì không_thể được
4458,Mình thấy Chipu hát cũng được mà tại_sao mọi người lại ném đá nhiều thế?
4459,Fan chipu ý_kiến! Chipu hợp làm diễn_viên và người_mẫu hơn là làm ca_sĩ. Chất giọng của chị chipu không được hay lắm!
4460,Chúc_mừng tùng đã bị ghét từ việt_nam đến Mỹ
4461,Em chỉ đẹp khi đứng và Cười... còn khi cất lời thì nhạt lắm luôn ^ ^
4462,"Trời_ơi em mê quá anh ưi, nghe quài mà nó cứ cuốn quài"
4463,tung tai ghê ha. làm được mv thập_cẩm lun. GHÊ THIỆT
4464,bài hát hay MV đẹp. xem mãi không thấy chán.. hay quá Tùng ơi..
4465,bài hát We_Don ' tôi Talk_Anymore với bài này. hình_như nghe...
4466,mấy đứa anti thì vô cmt chi rảnh vãi cl
4467,Sơn tùng mtp 1 cái tên quen_thuộc với 1 phong_cách ĐIÊN_KHÙNG
4468,"Hay thì tôi thích, tôi xem. TÔI vẫn ủng_hộ Tùng. Cứ thấy hay_là tôi ủng_hộ. TÔI cứ cmt vì tôi thấy hay. éo lquan ts ai."
4469,Hay đấy chứ sao mọi người chê kinh quá: ) )
4470,"Cuối_MV, Tùng cầm cái gì vậy nhỉ? Xem_lại mấy lần vẫn không hiểu."
4471,"- Hay mà sao cmt chê kinh vậy? Chi pu muốn làm ca_sĩ thì không động_viên đã_đành lại còn bảo nghỉ làm ca_sĩ, Hương_Tràm đá đểu Chi_Pu vì mv Em_gái mưa xếp thứ 3 còn mv của Chi_Pu xếp thứ nhất hả? Ủa làm zị chi?"
4472,noi dung loi nhac con quá_nham hinh anh thi kho hieu va chat luong thi te
4473,Vâng bài hát hay đến mức thằng bạn tôi liệt 2 chân phải đúng dậy ra tắt nhạc
4474,thua bên kia 3tr chắc anti cài kg chứ đâu :cười_ra_nước_mắt:
4475,Nếu mấy bạn không xem hết MV thì lượt xem không tăng đâu. Vậy nên anti vào xem thì chừa lại 1s rồi thoát ra nhé: 3 Đừng quên không thích ủng_hộ bản mashup cover vietsub xuyên biên_giới của sếp ' sssssssssss nhé ' sssssssssssssss!!!!!!!!!!!!!!!!!!!! Chúng_ta không talk anymore = ) ) ) ) Burn it up!!! wow wow wow = ) ) ) Phài ơ ơ ơ ơ bùng cháy lên ngọn lửa Cao_Nguyên = ) ) ) )
4476,"Không phải bênh_vực HT hay_là gì hết nhưng_mà HT nói như_thế cũng có phần đúng mà. Bã chưa nói đích_danh mà nghĩ là đá xéo Chi pu = ) ) ) video không đẹp hát không được gọi là "" hay "" nên đừng biện_minh là đam_mê mà thế_này thế kia"
4477,Vị_trí thảm_hoạ tồi_tệ nhất của titanic đag bị lung_lay :cười_ra_nước_mắt: :cười_ra_nước_mắt:
4478,ừ nghe cũng hơi giống thật: ( nói_chung vẫn hay
4479,chị ChiPu hát hay mà mv quá đầu_tư luôn không hiểu sao bị không thích nhìu như_thế
4480,"Xin_lỗi Chi nhé, hát ngang như cua, giống bài nói_dối của cô ca_sĩ gì đó quá!!!"
4481,mấy đứa đó ghen_tị không có MV đỉnh như_vậy thua nên xàm
4482,chi co nhung bon suu nhi moi noi anh dao nhac thoi chu that ra anh la tai nang thien bam ma
4483,We don ' tôi talk any more xuat ban vao 2 / 8 thi lam gi co chuyen dao nhac tar. ; ) ) ) ) ) ) ) ) ) ) ) :trái_tim_đỏ: :trái_tim_đỏ: :trái_tim_đỏ: :trái_tim_đỏ:
4484,Fan_Justin_Bieber và Noo chúc Tùng thành_công = ) ) )
4485,Phải công_nhận thì cô ngân với mèo rap chua thật: ) )
4486,Bro tạo ra bài hát thảm_hoạ còn hơn thick of it của KSI :đầu_lâu:
4487,"Đúng là có đầu_tư nhìn mày. vậy, giọng hát khác hẳn, nói_chung mình thích"
4488,hay quá anh tùng ơi Sky luôn bên anh: )
4489,Trời vãi chưởng zua ra song vào hon 3tr vãi chưởng em thic anh roi
4490,"Anh ơi anh làm MV quảng_cáo à :cười_ra_nước_mắt: :cười_ra_nước_mắt:, thật_sự MV rất tệ, cảnh quay cũng ít, bài hạt cũng không hay ( dở ) không hiểu được ý_nghĩa, MV vậy sao anh cũng ra_mắt được vậy, đối_với em 3 / 10 đéo"
4491,"Cũng được mà, chỉ là cái lời hơi củ chối thôi"
4492,CHAY NGAY ĐI TƠI CHUNG TA KHÔNG THUÔC VÊ NHAU....... rôi tơi đâu nưa...???
4493,Anh Siro ơi Anh kairon nói anh là con chó
4494,thay_mặt fan của Snake 20 năm chúc Tùng thành_công: ) )
4495,"Thật_ra bài này hay đó chứ, càng nghe càng hay nhưng lại không thích chipu nữa rồi"
4496,Tôi muốn hỏi bạn nhấn :không_thích: 🖓 vì bài hát không hay_hay là ùa theo ngkhac nói như_vậy hay vì ghen với chi pu đây
4497,Anh kairon với chị kamui nghe rap rõ nhất trong hero team
4498,Mấy thằng trẻ trâu nuôi mấy con máy này tôi lên rồi tôi không coi
4499,Thấy lạ sao đó quá_trời ca_sĩ dao nhac lun sao không nói nhi. Can cau tra loi
4500,Thanh_Tuyền bạn em nó nói hát như con vịtttt = ) ) ) )
4501,"cô_đơn đôi chân lạc trôi giữa bầu_trời, có nhắc tới bài lạc trôi nhé"
4502,bài này được sáng_tác bởi một thiên_tài với bộ_não và đầu_óc của một con chó
4503,"Tại_sao ca sỉ chuyển sang đóng phim thì được Còn diển viên chuyển sang ca_hát thì lại bị phát xét nhiều đến thế. Mỗi người có sở_thích và niềm đam_mê họ có khả_năng thì làm thôi, ở đây phán_xét chi nhiều Tuy_rằng chi pu hát không hay cho lắm nhưng đây là tâm_huyết của cô ấy trong 3 năm nếu chúng_ta không thích thì cũng đừng công_kích quá_đáng, bởi đó là tâm_huyết và công_sức của cô ấy và ekip"
4504,Ha anh đã không phải được biết được một một trong các trường có những năm nay nay không có có có những người đã bị ảnh_hưởng các em là không phải không còn được cho người khác của người có có được một năm
4505,bài nhạc thần_kì nhất năm thằng em hàng_xóm mình bị down sau khi nghe bài này em ấy cứ như thành người chưa hề bị bệnh_tật :trái_tim_đỏ:
4506,"nhạc như con KU đéo thấy gì hay, mà vẫn có đứa thích"
4507,đoạn em_em em_em hay gê. luon xem ngang vối. con_nợ mẹ
4508,"Tôi thấy hay mà trời. Tự_nhiên phẩn nộ dữ vậy. Hát được như_vậy không mà nói ngta. Còn Hương_Tràm hơi quá_đáng rồi đấy, xúc_phạm hơi quá rồi đấy. Tùng Sơn đấy xúc_phạm nghề của Tràm đó sao không một cú đấm đuy. Quá_đáng :tức_giận: :tức_giận: :tức_giận:"
4509,Mặc_dù không nghe nhưng nhìu anh_chị_em cũng vào không thích và chửi như 1 vị thần
4510,hay thế_này mà nhiều người dám bảo là như cơm thiu à
4511,Nghe cũng hay mà mặc_dù không phải là fan hay anti nhưng đối ới tôi bìa này rất hay mv đẹp_mắt music nge bát taii < 3
4512,Mấy bác nếu không muốn tăng lượt xem hãy giảm âm_lượng xuống thấp hơn 50 % và bấm pause xong nghe tiếp thì youtube sẽ không tính lượt xem nhé: ) ) ) ) ) ) ) )
4513,Fan_Putin & Kim_Jong - un chúc Tùng thành_công = ) ) )
4514,Bị nghiện bài này. Nghe trên_dưới 50 lần từ hôm ra mv tới giờ.
4515,"Cảm_ơn vì bài hát quá hay, tôi đã khóc :khóc:"
4516,con cho nhà tôi 7 năm trước bị liệt cả 4 chân già sắp chết thế_là tôi đầu liền nhẩy số bật vội bài này thế_là phép mày đã xuất_hiện con cho nhà tôi đi_lại bình thằng và khoẻ_mạnh như lúc tôi nuôi nó lúc trẻ và nó sống đến tận bâyh
4517,"thương tùng: < < < ra_mắt củ lạc giòn_tan rồi mà we don ' tôi talk anymore ( bản đạo ) chưa cán 100. 000. 000 lượt xem nữa kìa: < sky ' s cố rồi anti cố rồi: vậy Xin_lỗi sếp ' sss, chúng_ta không thuộc về nhau: ) ) )"
4518,cứ không thích nếu anti muốn và lượt xem cứ tăng thôi
4519,Mỗi người đều có một con đường để đi.. Chị cố lên nhé.. Em ủng_hộ
4520,"Thật_sự bài hát này quá hay quá thuyết_phục. Thằng bạn tôi bị liệt 2 chân từ nhỏ nhưng khi nghe bài này nó liền đứng dậy được, để đi_tắt nhạc"
4521,"Mọi người ơi ghé kênh em có làm về anh Tùng đó ạ, mọi người thích và đăng_kí kênh ủng_hộ em với!"
4522,"có chút gì đó nhái phóng cách đông nhi, cơ_mà hay"
4523,Hay quá cô ngân ơi :đỏ_mặt: Hay quá bác gấu ơi :đỏ_mặt:
4524,Mv không hay cũn không dở dể nghe mà sao mấy anh_hùng bàn_phím cứ bô_bô thể_hiện
4525,kp fan cũng không phải anti. thấy chị cố_gắng thử sức ở những lĩnh_vực khác nhau là tốt. Nhưng kp ca_sĩ muốn là làm được dù cơ_bản chị đã rất có nhiều fan ủng_hộ. Nhưng giọng chị thực_sự không phù_hợp để làm ca_sĩ đâu. Chị hãy chỉ tập_trung vào thế mạnh của mình thôi.
4526,"Không_thể chê về khoản đầu_tư trang_phục, ekip... Nhưng giai_điệu bài hát ngang hết_sức. Nó không hề phù_hợp gì cả. Giọng hát Chipu sẽ được toả sáng hơn nếu chọn đúng bài"
4527,Fan hương tràm đâu TÔI xúc hết mẹ không thích đa_số fan HT
4528,"mong rằng chipu luôn biết vị_trí của mình, và luôn biết khả_năng của mình.. xem Mv xong mà ức_chế vãi cả lúa.. Từ trang_phục, biểu_diễn, chất giọng, bài hát tất_cả gộp lại đều là một thảm_hoạ.. nhảy thì y_như trò_hề.. vãi chưởng âm_nhạc việt_nam"
4529,em thích cả hai tại vì không có ai điều hát hay cả dù có hát co nào thì cũng hạng nhi thôi
